mimic_code,mimic_display,target_system,target_code,target_display,comment,codesearch_query,codesearch_query_2,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning,codesearch_loinc_status,codesearch_loinc_target,codesearch_loinc_display,codesearch_loinc_confidence,codesearch_snomed_status,codesearch_snomed_target,codesearch_snomed_display,codesearch_snomed_confidence,observed_shape,loinc_scale_typ,scale_note
220059,Pulmonary Artery Pressure systolic,http://loinc.org,8440-0,Pulmonary artery Systolic blood pressure,,Pulmonary Artery Pressure systolic,,8440-0,Pulmonary artery Systolic blood pressure,0.95,ok,FSN matches pulmonary artery systolic pressure exactly,ok,8440-0,Pulmonary artery Systolic blood pressure,0.95,,,,,Qn,Qn,
220060,Pulmonary Artery Pressure diastolic,http://loinc.org,8385-7,Pulmonary artery Diastolic blood pressure,,Pulmonary Artery Pressure diastolic,,8385-7,Pulmonary artery Diastolic blood pressure,0.95,ok,FSN matches input exactly; no added specifier,ok,8385-7,Pulmonary artery Diastolic blood pressure,0.95,,,,,Qn,Qn,
220061,Pulmonary Artery Pressure mean,http://loinc.org,8414-5,Pulmonary artery Mean blood pressure,,Pulmonary Artery Pressure mean,,8414-5,Pulmonary artery Mean blood pressure,0.95,ok,FSN matches input exactly,ok,8414-5,Pulmonary artery Mean blood pressure,0.95,,,,,Qn,Qn,
220063,Pulmonary Artery Pressure Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220066,Pulmonary Artery Pressure Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220069,Left Artrial Pressure,,,,"LOINC: proposed 60988-3 |Left atrial pressure| at 0.65, below the 0.8 threshold. SNOMED CT: proposed 276760007 |Left atrial pressure| at 0.65, below the 0.8 threshold.",Left Artrial Pressure,,60988-3,Left atrial pressure,0.65,below-threshold,,below-threshold,60988-3,Left atrial pressure,0.65,below-threshold,276760007,Left atrial pressure,0.65,,,
220072,Central Venous Pressure Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220073,Central Venous Pressure  Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220074,Central Venous Pressure,http://loinc.org,60985-9,Central venous pressure (CVP),,Central Venous Pressure,,60985-9,Central venous pressure (CVP),0.95,ok,,ok,60985-9,Central venous pressure (CVP),0.95,,,,,Qn,Qn,
220088,Cardiac Output (thermodilution),http://loinc.org,8741-1,Left ventricular Cardiac output,,Cardiac Output (thermodilution),,8741-1,Left ventricular Cardiac output,0.80,ok,No thermodilution-specific code; generic cardiac output is closest broader match,ok,8741-1,Left ventricular Cardiac output,0.80,,,,,Qn,Qn,
220120,Intra Aortic Ballon Pump Setting,,,,"LOINC: no match for 'Intra Aortic Ballon Pump Setting' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Intra Aortic Ballon Pump Setting' within <<363787002.",Intra Aortic Ballon Pump Setting,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
220125,Left Ventricular Assit Device Flow,,,,"LOINC: no match for 'Left Ventricular Assit Device Flow' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 444479000 |Rate of blood flow through cardiovascular device| at 0.70, below the 0.8 threshold.",Left Ventricular Assit Device Flow,,,,,no-match,,no-match,,,,below-threshold,444479000,Rate of blood flow through cardiovascular device,0.70,Qn,,
220128,Right Ventricular Assist Device Flow,http://snomed.info/sct,250943003,Right ventricular blood flow,,Right Ventricular Assist Device Flow,,250943003,Right ventricular blood flow,0.80,ok,Observable entity matching right ventricular flow; assist device context not separately coded,no-match,,,,ok,250943003,Right ventricular blood flow,0.80,Qn,,
220179,Non Invasive Blood Pressure systolic,http://loinc.org,76534-7,Systolic blood pressure by Noninvasive,,Non Invasive Blood Pressure systolic,,76534-7,Systolic blood pressure by Noninvasive,0.95,ok,FSN matches noninvasive systolic BP exactly,ok,76534-7,Systolic blood pressure by Noninvasive,0.95,,,,,Qn,Qn,
220180,Non Invasive Blood Pressure diastolic,http://loinc.org,76535-4,Diastolic blood pressure by Noninvasive,,Non Invasive Blood Pressure diastolic,,76535-4,Diastolic blood pressure by Noninvasive,0.95,ok,FSN matches noninvasive diastolic BP exactly,ok,76535-4,Diastolic blood pressure by Noninvasive,0.95,,,,,Qn,Qn,
220181,Non Invasive Blood Pressure mean,http://loinc.org,76536-2,Mean blood pressure by Noninvasive,,Non Invasive Blood Pressure mean,,76536-2,Mean blood pressure by Noninvasive,0.95,ok,FSN matches input exactly,ok,76536-2,Mean blood pressure by Noninvasive,0.95,,,,,Qn,Qn,
220194,Temporary AV interval,http://loinc.org,99682-7,Pacemaker Atrioventricular interval,,Temporary AV interval,,99682-7,Pacemaker Atrioventricular interval,0.85,ok,AV interval measurement; temporary qualifier not separately coded,ok,99682-7,Pacemaker Atrioventricular interval,0.85,,,,,Qn,Qn,
220210,Respiratory Rate,http://loinc.org,9279-1,Respiratory rate,,Respiratory Rate,,9279-1,Respiratory rate,1.00,ok,,ok,9279-1,Respiratory rate,1.00,,,,,Qn,Qn,
220218,Vital Capacity,http://loinc.org,19867-1,Vital capacity [Volume] Respiratory system,,Vital Capacity,,19867-1,Vital capacity [Volume] Respiratory system,0.95,ok,FSN matches input exactly; no added method/qualifier,ok,19867-1,Vital capacity [Volume] Respiratory system,0.95,,,,,,Qn,
220224,Arterial O2 pressure,http://loinc.org,2703-7,Oxygen [Partial pressure] in Arterial blood,,Arterial O2 pressure,,2703-7,Oxygen [Partial pressure] in Arterial blood,0.95,ok,FSN matches arterial O2 partial pressure exactly,ok,2703-7,Oxygen [Partial pressure] in Arterial blood,0.95,,,,,Qn,Qn,
220227,Arterial O2 Saturation,http://loinc.org,2708-6,Oxygen saturation in Arterial blood,,Arterial O2 Saturation,,2708-6,Oxygen saturation in Arterial blood,0.95,ok,FSN matches arterial O2 saturation exactly,ok,2708-6,Oxygen saturation in Arterial blood,0.95,,,,,Qn,Qn,
220228,Hemoglobin,http://loinc.org,718-7,Hemoglobin [Mass/volume] in Blood,,Hemoglobin,,718-7,Hemoglobin [Mass/volume] in Blood,0.85,ok,General hemoglobin test; FSN matches input exactly,ok,718-7,Hemoglobin [Mass/volume] in Blood,0.85,,,,,Qn,Qn,
220235,Arterial CO2 Pressure,http://loinc.org,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,,Arterial CO2 Pressure,,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,0.95,ok,FSN matches arterial CO2 partial pressure exactly,ok,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,0.95,,,,,Qn,Qn,
220245,CO2 production,http://loinc.org,60825-7,Carbon dioxide production (VCO2) in Respiratory system,,CO2 production,,60825-7,Carbon dioxide production (VCO2) in Respiratory system,0.95,ok,FSN matches input exactly,ok,60825-7,Carbon dioxide production (VCO2) in Respiratory system,0.95,,,,,Qn,Qn,
220274,PH (Venous),http://loinc.org,2746-6,pH of Venous blood,,PH (Venous),,2746-6,pH of Venous blood,0.95,ok,FSN matches pH of venous blood exactly,ok,2746-6,pH of Venous blood,0.95,,,,,Qn,SemiQn,
220277,O2 saturation pulseoxymetry,http://loinc.org,2708-6,Oxygen saturation in Arterial blood,,O2 saturation pulseoxymetry,,2708-6,Oxygen saturation in Arterial blood,0.85,ok,Pulse oximetry measures arterial O2 saturation (SpO2),ok,2708-6,Oxygen saturation in Arterial blood,0.85,,,,,Qn,Qn,
220283,Resistance,,,,"LOINC: no match for 'Resistance' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Resistance' within <<363787002.",Resistance,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
220292,Minute Volume Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220293,Minute Volume Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
220339,PEEP set,http://loinc.org,20077-4,Positive end expiratory pressure setting Ventilator,,PEEP set,,20077-4,Positive end expiratory pressure setting Ventilator,0.90,ok,FSN matches PEEP setting; min/max are narrower,ok,20077-4,Positive end expiratory pressure setting Ventilator,0.90,,,,,Qn,Qn,
220507,Activated Clotting Time,http://loinc.org,3184-9,Activated clotting time (ACT) of Blood by Coagulation assay,,Activated Clotting Time,,3184-9,Activated clotting time (ACT) of Blood by Coagulation assay,0.95,ok,General ACT test; matches input without unstated method specifiers,ok,3184-9,Activated clotting time (ACT) of Blood by Coagulation assay,0.95,,,,,Qn,Qn,
220541,ZFibrinogen,http://loinc.org,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,,ZFibrinogen,,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,0.85,ok,Standard fibrinogen test; Z prefix is local shorthand,ok,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,0.85,,,,,,Qn,
220545,Hematocrit (serum),http://loinc.org,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,,Hematocrit (serum),,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,0.85,ok,Standard blood hematocrit; serum qualifier not applicable to Hct,ok,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,0.85,,,,,Qn,Qn,
220546,WBC,,,,"LOINC: proposed 26464-8 |Leukocytes [#/volume] in Blood| at 0.61, below the 0.8 threshold. SNOMED CT: proposed 416869002 |Leukocyte feature| at 0.67, below the 0.8 threshold.",WBC,,26464-8,Leukocytes [#/volume] in Blood,0.61,below-threshold,,below-threshold,26464-8,Leukocytes [#/volume] in Blood,0.61,below-threshold,416869002,Leukocyte feature,0.67,Qn,,
220560,ZProthrombin time,http://loinc.org,5902-2,Prothrombin time (PT),,ZProthrombin time,,5902-2,Prothrombin time (PT),0.85,ok,FSN matches prothrombin time exactly,ok,5902-2,Prothrombin time (PT),0.85,,,,,,Qn,
220561,ZINR,http://snomed.info/sct,286617004,Zinc intake,,ZINR,,286617004,Zinc intake,0.80,ok,"ZINR maps to zinc intake; base concept, others add unstated specificity",below-threshold,16180-2,Zinc [Mass/mass] in Tissue,0.56,ok,286617004,Zinc intake,0.80,,,
220562,ZPTT,,,,"LOINC: proposed 4539-3 |Erythrocyte [Sedimentation Rate] in Blood by Zetafuge| at 0.50, below the 0.8 threshold. SNOMED CT: no match for 'ZPTT' within <<363787002.",ZPTT,,4539-3,Erythrocyte [Sedimentation Rate] in Blood by Zetafuge,0.50,below-threshold,Only candidate; ZPTT ambiguous but closest zeta-related test,below-threshold,4539-3,Erythrocyte [Sedimentation Rate] in Blood by Zetafuge,0.50,no-match,,,,,,
220574,ZAlbumin,,,,"LOINC: proposed 1751-7 |Albumin [Mass/volume] in Serum or Plasma| at 0.70, below the 0.8 threshold. SNOMED CT: no match for 'ZAlbumin' within <<363787002.",ZAlbumin,,1751-7,Albumin [Mass/volume] in Serum or Plasma,0.70,below-threshold,ZAlbumin is a lab test; core meaning is serum albumin,below-threshold,1751-7,Albumin [Mass/volume] in Serum or Plasma,0.70,no-match,,,,,,
220580,Ammonia,http://loinc.org,23656-2,Ammonia [Mass/volume] in Specimen,,Ammonia,,23656-2,Ammonia [Mass/volume] in Specimen,0.85,ok,Ammonia analyte; specimen-unspecified captures meaning without overstepping,ok,23656-2,Ammonia [Mass/volume] in Specimen,0.85,,,,,Qn,Qn,
220581,Amylase,http://loinc.org,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,,Amylase,,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,0.85,ok,"Standard amylase test; analyte matches, specimen unstated",ok,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,0.85,,,,,Qn,Qn,
220587,AST,http://loinc.org,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,,AST,,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,0.90,ok,AST is standard abbreviation for aspartate aminotransferase; serum/plasma is the typical specimen,ok,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,0.90,,,,,Qn,Qn,
220602,Chloride (serum),http://loinc.org,2075-0,Chloride [Moles/volume] in Serum or Plasma,,Chloride (serum),,2075-0,Chloride [Moles/volume] in Serum or Plasma,0.95,ok,FSN matches serum chloride measurement,ok,2075-0,Chloride [Moles/volume] in Serum or Plasma,0.95,,,,,Qn,Qn,
220603,Cholesterol,,,,"LOINC: proposed 9342-7 |Cholesterol [Percentile]| at 0.62, below the 0.8 threshold. SNOMED CT: no match for 'Cholesterol' within <<363787002.",Cholesterol,,9342-7,Cholesterol [Percentile],0.62,below-threshold,,below-threshold,9342-7,Cholesterol [Percentile],0.62,no-match,,,,Qn,,
220611,ZCortisol,http://loinc.org,2143-6,Cortisol [Mass/volume] in Serum or Plasma,,ZCortisol,,2143-6,Cortisol [Mass/volume] in Serum or Plasma,0.80,ok,Generic serum/plasma cortisol test; Z prefix is lab-specific shorthand,ok,2143-6,Cortisol [Mass/volume] in Serum or Plasma,0.80,,,,,,Qn,
220612,ZC Reactive Protein (CRP),http://loinc.org,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,,ZC Reactive Protein (CRP),,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,0.90,ok,Standard CRP quantitative test; ZC is a lab prefix,ok,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,0.90,,,,,,Qn,
220615,Creatinine (serum),http://loinc.org,2160-0,Creatinine [Mass/volume] in Serum or Plasma,,Creatinine (serum),,2160-0,Creatinine [Mass/volume] in Serum or Plasma,0.90,ok,FSN matches creatinine in serum; standard assay,ok,2160-0,Creatinine [Mass/volume] in Serum or Plasma,0.90,,,,,Qn,Qn,
220621,Glucose (serum),http://loinc.org,2345-7,Glucose [Mass/volume] in Serum or Plasma,,Glucose (serum),,2345-7,Glucose [Mass/volume] in Serum or Plasma,0.90,ok,Standard serum glucose test; matches analyte and specimen,ok,2345-7,Glucose [Mass/volume] in Serum or Plasma,0.90,,,,,Qn,Qn,
220624,HDL,http://loinc.org,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,,HDL,,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,0.85,ok,Standard HDL cholesterol test; matches analyte and property,ok,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,0.85,,,,,Qn,Qn,
220632,LDH,,,,"LOINC: no match for 'LDH' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: proposed 250644007 |LDH blood measurement| at 0.90 but that code is not a member of <<363787002.",LDH,,,,,no-match,,no-match,,,,out-of-constraint,250644007,LDH blood measurement,0.90,Qn,,
220635,Magnesium,http://loinc.org,32329-5,Magnesium [Moles/volume] in Specimen,,Magnesium,,32329-5,Magnesium [Moles/volume] in Specimen,0.80,ok,Generic magnesium test; specimen unspecified in input,ok,32329-5,Magnesium [Moles/volume] in Specimen,0.80,,,,,Qn,Qn,
220640,ZPotassium (serum),http://loinc.org,2823-3,Potassium [Moles/volume] in Serum or Plasma,,ZPotassium (serum),,2823-3,Potassium [Moles/volume] in Serum or Plasma,0.85,ok,Serum potassium test; matches input meaning,ok,2823-3,Potassium [Moles/volume] in Serum or Plasma,0.85,,,,,,Qn,
220644,ALT,http://loinc.org,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,,ALT,,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,0.90,ok,ALT is standard abbreviation for alanine aminotransferase; serum/plasma is the common assay,ok,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,0.90,,,,,Qn,Qn,
220645,Sodium (serum),http://loinc.org,2951-2,Sodium [Moles/volume] in Serum or Plasma,,Sodium (serum),,2951-2,Sodium [Moles/volume] in Serum or Plasma,0.95,ok,FSN matches sodium serum test,ok,2951-2,Sodium [Moles/volume] in Serum or Plasma,0.95,,,,,Qn,Qn,
220650,Total Protein,http://loinc.org,2885-2,Protein [Mass/volume] in Serum or Plasma,,Total Protein,,2885-2,Protein [Mass/volume] in Serum or Plasma,0.85,ok,Standard total protein test; FSN matches analyte,ok,2885-2,Protein [Mass/volume] in Serum or Plasma,0.85,,,,,Qn,Qn,
220734,PH (dipstick),http://loinc.org,5803-2,pH of Urine by Test strip,,PH (dipstick),,5803-2,pH of Urine by Test strip,0.85,ok,Dipstick equals test strip; FSN matches method,ok,5803-2,pH of Urine by Test strip,0.85,,,,,Qn,SemiQn,
220739,GCS - Eye Opening,http://loinc.org,9267-6,Glasgow coma score eye opening,,GCS - Eye Opening,,9267-6,Glasgow coma score eye opening,0.95,ok,FSN matches GCS eye opening exactly,ok,9267-6,Glasgow coma score eye opening,0.95,,,,,Qn,Ord,LOINC SCALE_TYP=Ord but MIMIC records Qn data — a representation mismatch rather than a wrong target
220765,Intra Cranial Pressure,http://loinc.org,60956-0,Intracranial pressure (ICP),,Intra Cranial Pressure,,60956-0,Intracranial pressure (ICP),0.95,ok,FSN matches intracranial pressure exactly,ok,60956-0,Intracranial pressure (ICP),0.95,,,,,Qn,Qn,
220799,ZSpecific Gravity (urine),http://loinc.org,2965-2,Specific gravity of Urine,,ZSpecific Gravity (urine),,2965-2,Specific gravity of Urine,0.95,ok,FSN matches input exactly; general urine specific gravity test,ok,2965-2,Specific gravity of Urine,0.95,,,,,,Qn,
222871,Mallampati classification (Intubation),http://snomed.info/sct,277388005,Mallampati grade,,Mallampati classification (Intubation),,277388005,Mallampati grade,0.85,ok,FSN matches Mallampati classification observable,no-match,,,,ok,277388005,Mallampati grade,0.85,,,
223059,Intubation - Details,,,,"LOINC: no match for 'Intubation - Details (recorded values: Complicated)' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Intubation - Details (recorded values: Complicated)' within <<363787002.",Intubation - Details,Intubation - Details (recorded values: Complicated),,,,no-match,,no-match,,,,no-match,,,,NomOrd,,
223679,TCO2 (calc) Venous,http://loinc.org,48391-7,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",,TCO2 (calc) Venous,,48391-7,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",0.85,ok,FSN matches TCO2 (calc) Venous exactly,ok,48391-7,"Carbon dioxide, total [Moles/volume] in Venous blood by calculation",0.85,,,,,Qn,Qn,
223751,Non-Invasive Blood Pressure Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
223752,Non-Invasive Blood Pressure Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
223753,Riker-SAS Scale,,,,"LOINC: no match for 'Riker-SAS Scale' within (http://loinc.org)(CLASSTYPE/""1|2|4"",STATUS=ACTIVE). SNOMED CT: no match for 'Riker-SAS Scale' within <<363787002.",Riker-SAS Scale,,,,,no-match,,no-match,,,,no-match,,,,Qn,,
223754,Risk for Falls,http://loinc.org,81227-1,Fall risk [CCC],,Risk for Falls,,81227-1,Fall risk [CCC],0.85,ok,FSN 'Fall risk' matches 'Risk for Falls' meaning,ok,81227-1,Fall risk [CCC],0.85,,,,,NomOrd,Ord,
223758,Code Status,http://snomed.info/sct,304251008,Resuscitation status,,Code Status,,304251008,Resuscitation status,0.85,ok,Code status refers to resuscitation status; FSN matches meaning,below-threshold,100822-6,Cardiopulmonary resuscitation orders,0.75,ok,304251008,Resuscitation status,0.85,NomOrd,,
223759,Precautions: Standard +,,,,"LOINC: proposed 96548-3 |Isolated per Infection Prevention and Control guidelines| at 0.60, below the 0.8 threshold. SNOMED CT: no match for 'Precautions: Standard + (recorded values: No Additional Precautions, Contact, Droplet, Neutropenic, Airborne/Respiratory, Local Zoster/Shingles, Varicella/Chicken pox, Code 1 isolation)' within <<363787002.",Precautions: Standard +,"Precautions: Standard + (recorded values: No Additional Precautions, Contact, Droplet, Neutropenic, Airborne/Respiratory, Local Zoster/Shingles, Varicella/Chicken pox, Code 1 isolation)",96548-3,Isolated per Infection Prevention and Control guidelines,0.60,below-threshold,Broader match for infection control precautions/isolation,below-threshold,96548-3,Isolated per Infection Prevention and Control guidelines,0.60,no-match,,,,NomOrd,,
223760,Health Care Proxy,http://loinc.org,45468-6,Health care durable power attorney [Minimum Data Set],,Health Care Proxy,,45468-6,Health care durable power attorney,0.85,ok,Health care proxy is the health care durable power of attorney,ok,45468-6,Health care durable power attorney,0.85,,,,,NomOrd,Ord,
223761,Temperature Fahrenheit,http://loinc.org,8310-5,Body temperature,,Temperature Fahrenheit,,8310-5,Body temperature,0.85,ok,Fahrenheit is a unit qualifier; base concept is body temperature,ok,8310-5,Body temperature,0.85,,,,,Qn,Qn,
223762,Temperature Celsius,http://loinc.org,8310-5,Body temperature,,Temperature Celsius,,8310-5,Body temperature,0.85,ok,Body temperature measurement; Celsius is the unit,ok,8310-5,Body temperature,0.85,,,,,Qn,Qn,
223763,Bladder Pressure,http://snomed.info/sct,85662007,Intravesical pressure,,Bladder Pressure,,85662007,Intravesical pressure,0.85,ok,FSN 'Intravesical pressure' precisely matches bladder pressure,no-match,,,,ok,85662007,Intravesical pressure,0.85,Qn,,
223764,Orthostatic HR lying,http://snomed.info/sct,364075005,Heart rate,,Orthostatic HR lying,,364075005,Heart rate,0.80,ok,Heart rate measured lying; base observable captures meaning without overstepping,below-threshold,69408-3,Orthostatic heart rate [Difference in rate],0.75,ok,364075005,Heart rate,0.80,Qn,,
223765,Orthostatic HR sitting,http://loinc.org,69000-8,Heart rate --sitting,,Orthostatic HR sitting,,69000-8,Heart rate --sitting,0.85,ok,Captures heart rate sitting; orthostatic is a difference qualifier,ok,69000-8,Heart rate --sitting,0.85,,,,,Qn,Qn,
223766,Orthostatic BPs standing,http://loinc.org,34538-9,Orthostatic blood pressure,,Orthostatic BPs standing,,34538-9,Orthostatic blood pressure,0.85,ok,FSN matches orthostatic BP; standing is a qualifier,ok,34538-9,Orthostatic blood pressure,0.85,,,,,Qn,Qn,
223767,Intra Cranial Pressure Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
223768,Intra Cranial Pressure Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
223769,O2 Saturation Pulseoxymetry Alarm - High,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
223770,O2 Saturation Pulseoxymetry Alarm - Low,,,,"Not sent to code-search: every item is a `<X> Alarm - {High | Low}` device alarm limit, which is a monitor setting rather than a measurement of the patient. An answer here would be the service coding a string MIMIC does not stand behind.",,,,,,not-searchable,,,,,,,,,,,,
223771,PCWP,http://loinc.org,75994-4,Pulmonary artery wedge pressure,,PCWP,,75994-4,Pulmonary artery wedge pressure,0.85,ok,PCWP is pulmonary capillary wedge pressure; PA wedge pressure is the standard term,ok,75994-4,Pulmonary artery wedge pressure,0.85,,,,,Qn,Qn,
223772,SvO2,http://loinc.org,19224-5,Oxygen saturation in Mixed venous blood,,SvO2,,19224-5,Oxygen saturation in Mixed venous blood,0.95,ok,SvO2 is mixed venous oxygen saturation; FSN matches,ok,19224-5,Oxygen saturation in Mixed venous blood,0.95,,,,,Qn,Qn,
